Id,SalePrice
2658,190313.2530520918
2718,235816.57191953657
2414,179642.0453554356
1989,124120.08922633366
625,189424.7295158345
333,84164.50276534997
1327,97634.25900645516
858,149674.09317597342
95,196130.09212566115
1568,173670.541320573
2482,171819.32363731012
1364,156600.8628683214
2584,187001.48004469476
818,266377.5461316225
2673,174417.6568922193
2089,88424.33043547612
1297,163755.98397422052
790,132283.99920908196
2616,204080.301253279
720,230130.69662867277
222,131227.66799930323
557,116861.95973242048
1148,214202.81821138025
2766,150701.6517239782
534,198885.26174649262
1452,116861.95973242048
630,108790.4407575939
2648,130823.86292794638
125,152979.7218435197
1904,43921.681376250155
1670,89495.18684507714
756,97345.61457007113
717,267077.88126670034
1032,141198.14853855682
852,227172.18794322113
1731,176140.3696800467
2639,133853.36440771844
2071,61451.15320825156
1267,92064.29030039575
1851,211640.85443356694
567,143933.87872803723
2439,209188.23385770872
1898,142160.91887519852
647,140762.9533371247
2256,228198.34805710224
979,89406.04497083422
1444,204965.04232840482
2485,118862.85195581178
157,121799.04815202887
88,129627.68564109682
2003,131782.93806723697
186,199237.93249787868
1425,268703.71893222013
2695,130026.91933428738
738,108784.33451256118
395,155499.0083509699
1353,213505.90053578292
1878,140852.55234918426
390,195816.4955834527
1456,212849.14587255722
1103,320804.74445367506
1387,144880.8507893314
2070,140302.15841796124
1199,194855.82046180387
2479,161868.72859307993
501,328409.23203332187
2362,89495.18684507714
1718,179975.9956046284
2188,50518.02769095471
1483,142791.64370355004
2557,78525.25065939726
437,314110.26588766713
2224,208105.05687534725
1628,163903.70460448397
397,130143.87042570865
587,225732.29108461575
971,88424.33043547612
2611,167585.31317967927
1887,88424.33043547612
2399,317016.6608620229
2148,223462.4002768112
304,141923.04375713423
1997,123964.73855831544
2817,98431.16450529612
1431,155008.80423226987
427,328190.2630191559
263,117657.3795333574
598,177348.82457245345
2895,278980.8246619786
687,164603.82224479772
1822,126442.99694672303
2191,90165.50326352954
179,154809.5302390371
1009,226790.23822328215
2010,123756.20752429587
1991,160935.13888706648
1411,175169.3168213581
1721,261339.64774930285
1144,168230.41082858088
593,220720.4384836997
575,278662.1234141511
1249,183450.85252810834
1604,119225.81938221632
1064,461819.0150666375
1923,174350.61001244682
1988,111055.54756485327
2325,155252.19202480753
114,203571.16401000688
2700,255976.56712770154
217,189305.8958317992
343,193734.01533393713
386,244874.1531113644
2005,61451.15320825156
2908,137932.3559765492
1814,226716.72629858507
2446,489958.13336932217
208,113274.34214750506
1679,119671.9858912476
822,309016.7490709908
6,171979.89329540153
1781,370532.6311362588
2397,250769.63096353848
2340,308231.84343983635
1618,159861.01739725724
2843,128987.55139268632
1061,321878.85486934
2786,116861.95973242048
1935,127131.10364520596
1341,114596.99423028904
521,285493.19892355107
2136,128057.2267668811
996,174240.0588504584
227,127921.0377923433
135,161806.13880701963
1167,159300.10929625173
294,266530.2301623771
