Id,SalePrice
2658,177269054.6897195
2718,201315095.11348194
2414,227878148.86558574
1989,146512602.3772627
625,174196833.08621198
333,85203845.3004015
1327,146563717.59934187
858,164104241.37628505
95,123348109.74827285
1568,172788768.1149122
2482,147004803.60112673
1364,136743546.46631125
2584,187620005.4398298
818,198193761.7463041
2673,191411441.7960698
2089,142185888.59665346
1297,180842586.9692247
790,158757971.55963153
2616,192592957.57681972
720,241873798.9342926
222,146423554.09642345
557,145261566.251482
1148,171754956.04763767
2766,256737091.52365696
534,168817519.8660022
1452,129950745.80029845
630,194678698.09973735
2648,162084938.16848412
125,151179035.78119564
1904,80960529.3126312
1670,134809983.94597062
756,131098584.36261913
717,225736331.47381175
1032,168265786.52246094
852,194108531.05469614
1731,193591997.76137245
2639,138699868.61794683
2071,134891646.1111307
1267,133070510.79174724
1851,155782652.13505855
567,110495674.15879089
2439,193206988.17259687
1898,150203486.86427376
647,206598557.04790974
2256,133344078.60456587
979,85507105.72499947
1444,192789725.31672347
2485,136501351.2309383
157,121297612.60990456
88,139626828.5597729
2003,157065575.55980086
186,175412909.52234948
1425,187166831.63384756
2695,141000703.14263412
738,119520098.11565948
395,144285175.2573083
1353,172271828.32196724
1878,166158595.60850728
390,178345820.97209603
1456,190873885.26718372
1103,224038852.25408393
1387,192585353.3341191
2070,197864894.95525095
1199,203765971.29303265
2479,149204194.6956389
501,216996410.77217555
2362,133537180.01857926
1718,125037048.66708471
2188,92951855.20918803
1483,107321556.27178682
2557,112305988.88020346
437,324033447.0396172
2224,316643014.96592593
1628,168963137.75291786
397,148888286.05152693
587,257869031.34724975
971,261316283.2994768
2611,162061349.31741112
1887,124596010.77441473
2399,239899510.20910662
2148,171417197.4288213
304,151269101.23337412
1997,109012628.69093509
2817,156340536.49946153
1431,197917621.8088402
427,240010514.021449
263,134505576.3115188
598,228299664.74309886
2895,248022096.53391704
687,156242870.18906248
1822,139513304.1709131
2191,175514820.51551643
179,135397615.9110176
1009,126281233.67301941
2010,127593370.14462744
1991,170307391.9577096
1411,177452248.00714147
1721,141763739.64177334
1144,164962993.0074082
593,162859000.77794075
575,232663389.3942239
1249,218047640.0600316
1604,128922366.82059029
1064,252871582.7463978
1923,186513610.4140039
1988,94778954.37230286
2325,149186966.53758878
114,265046211.14398175
2700,211533074.76621538
217,197973491.18462443
343,182137442.75921977
386,165676946.95354667
2005,167736769.22047186
2908,222807724.49073285
1814,235202784.40070835
2446,466983106.48862976
208,152744176.86101443
1679,94979242.00008014
822,203932800.75528082
6,175750384.79999796
1781,229852885.4789304
2397,200646040.62600166
2340,177383802.91241693
1618,201768945.57480544
2843,156596926.96827203
1061,227776250.7590016
2786,149246016.8448286
1935,149306364.65666342
1341,119438085.68283248
521,212338421.07452923
2136,149462324.00363916
996,169072898.0839945
227,178099727.33427113
135,175447333.61603945
1167,106072234.48863004
294,201323436.10683197
1776,178262337.14044127
540,193442877.32565445
1717,125020215.28682072
2303,164424405.6888649
116,170706194.18978262
127,158974703.2007488
1371,167977213.3855198
1014,362777422.6659583
1507,125324204.34532586
702,164154815.11574745
750,166339959.3065956
261,171643496.40649974
1559,138302788.26411676
577,239572631.90960038
2812,192903611.3908107
2080,179678276.35605255
1368,121195675.62992512
2376,135616459.97147918
659,139968638.77630985
1235,140562187.086505
332,81959857.36929241
1917,145760895.7425956
2094,223117778.59272352
1460,194157756.713239
1471,209149926.48795408
1509,174093505.40980268
1922,154383010.75936675
433,267788693.1850952
460,152314649.52612484
1116,190940283.5278881
1137,198644809.38638076
53,110150613.36429633
2354,192112768.6133566
1475,178607728.3525959
1761,327842193.49059236
842,144685291.73137128
2739,203533585.569817
2509,97841665.23124057
1007,186201750.29192907
2610,176468647.53225654
1952,105171066.14339626
2719,188593438.50242332
2921,85203374.32313792
1966,151915037.33805186
292,169270499.09864137
1204,183106675.11892268
1829,258998356.38156828
2419,161772045.4788577
391,172539794.79372662
798,149670895.3682356
481,161032112.3460364
193,169847049.14925814
555,157005646.833732
899,144451460.01766866
2357,177468475.1816631
328,92047585.34671335
1356,152815198.6823824
1154,122036106.4763919
1730,171543635.34809756
2249,136112199.66624275
1119,183603132.5739621
2856,171282676.3252911
1394,198807155.4913053
2587,135706178.04537344
61,279086941.2717986
2661,161408192.63905376
2711,159156124.018555
1147,171489539.7045054
757,125966027.03865357
2623,120443303.44113864
2378,104577848.77552994
1413,153866121.4123556
1722,147731768.25216225
1112,225133329.63120517
1623,167093193.89320037
1201,175721101.17117172
1513,123090703.9004487
957,1935461073.8747544
1171,136129255.6018222
1145,163813882.66565114
2726,285222532.98261696
703,106526237.87506448
760,108814210.17810093
1964,139329721.93076286
2512,115652139.82117303
159,139282068.15245157
1281,153366588.46161473
468,186023280.42522764
290,135676263.2645417
665,159335536.73761106
1463,211593964.80190057
1792,184697903.21230704
923,210096720.18985647
500,207713181.94596452
1408,258969109.41698596
331,67846007.90539865
170,130697355.69189806
2192,133895903.87629227
2571,355412686.9287194
2314,193902901.02329034
2647,113839075.7768206
422,260429493.62635487
2457,308014690.1603595
1838,128099203.05888523
2805,236686029.1099534
1645,181621387.98065245
1711,219605412.01683792
2825,207799735.7169714
322,235607176.95170838
2103,196150475.33201835
342,181300377.82341623
600,133712806.40742771
488,166185779.54121393
1725,182527681.1822795
2246,150666610.98775133
2847,159007738.64915454
806,188828369.61651927
530,185076634.54169428
963,192171481.5520419
2678,124804829.02462588
171,140984841.02010137
2401,311884923.439506
805,190472395.0858719
2259,271024526.4840661
1748,169071494.89919907
1361,171186356.40561837
1677,90474487.3428541
1406,168849235.7887693
2322,297069196.1324834
688,157969653.15719628
143,158837245.09707528
804,170943717.78229442
1214,166593707.33557913
2828,102978208.70728219
1999,174517909.81136715
2467,158548922.86040783
2665,151054019.0725384
1538,260958802.37644386
398,131268299.25990845
2822,218858524.24274635
2157,107383278.11898477
1856,231692297.560439
1269,120681227.0516503
2570,152412178.15502456
2320,188389692.9139472
1517,184721093.21752274
2304,160652639.07863542
1312,140145071.30853075
2012,127720701.77823965
506,351129020.6366254
2865,248890657.2313777
